,miRNA,ceRNA,species,database,type
370,TRI-TAT2-3,SLC18A1,Homo sapiens,RNAInter,miRNA-mRNA
371,TRI-TAT2-3,SYCE2,Homo sapiens,RNAInter,miRNA-mRNA
372,TRI-TAT2-3,ZNF536,Homo sapiens,RNAInter,miRNA-mRNA
373,Z93930,FAT1,Homo sapiens,RNAInter,miRNA-mRNA
374,Z97632,LINC00880,Homo sapiens,RNAInter,miRNA-lncRNA
375,cir-ZNF609,AKT3,Homo sapiens,RNAInter,miRNA-mRNA
376,ebv-miR-BART10-3p,ACSL4,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
377,ebv-miR-BART10-3p,ADSS,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
378,ebv-miR-BART10-3p,ANKRD11,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
379,ebv-miR-BART10-3p,AP1S3,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
380,ebv-miR-BART10-3p,ARL2BP,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
381,ebv-miR-BART10-3p,ARMC8,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
382,ebv-miR-BART10-3p,ATG5,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
383,ebv-miR-BART10-3p,BTBD1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
384,ebv-miR-BART10-3p,CBX5,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
385,ebv-miR-BART10-3p,CCNT2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
386,ebv-miR-BART10-3p,CDC42,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
387,ebv-miR-BART10-3p,CELF2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
388,ebv-miR-BART10-3p,CEP85,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
389,ebv-miR-BART10-3p,CLCC1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
390,ebv-miR-BART10-3p,CLINT1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
391,ebv-miR-BART10-3p,CMTM6,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
392,ebv-miR-BART10-3p,CPEB2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
393,ebv-miR-BART10-3p,CPEB3,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
394,ebv-miR-BART10-3p,CPEB4,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
395,ebv-miR-BART10-3p,CROT,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
396,ebv-miR-BART10-3p,DDX3Y,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
397,ebv-miR-BART10-3p,FAM120A,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
398,ebv-miR-BART10-3p,FAM222B,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
399,ebv-miR-BART10-3p,FBXW7,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
400,ebv-miR-BART10-3p,GEMIN4,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
401,ebv-miR-BART10-3p,HECW2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
402,ebv-miR-BART10-3p,IDS,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
403,ebv-miR-BART10-3p,IREB2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
404,ebv-miR-BART10-3p,KMT2A,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
405,ebv-miR-BART10-3p,MEX3C,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
406,ebv-miR-BART10-3p,MORC3,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
407,ebv-miR-BART10-3p,MREG,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
408,ebv-miR-BART10-3p,NCOA3,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
409,ebv-miR-BART10-3p,NOM1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
410,ebv-miR-BART10-3p,NUP133,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
411,ebv-miR-BART10-3p,NUP43,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
412,ebv-miR-BART10-3p,PAFAH1B1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
413,ebv-miR-BART10-3p,PER2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
414,ebv-miR-BART10-3p,PPP6C,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
415,ebv-miR-BART10-3p,RASGRP3,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
416,ebv-miR-BART10-3p,RBBP6,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
417,ebv-miR-BART10-3p,RBM26,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
418,ebv-miR-BART10-3p,RNF213,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
419,ebv-miR-BART10-3p,SAP18,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
420,ebv-miR-BART10-3p,SEL1L,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
421,ebv-miR-BART10-3p,SMCHD1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
422,ebv-miR-BART10-3p,SPTLC2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
423,ebv-miR-BART10-3p,STARD7,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
424,ebv-miR-BART10-3p,SUMO3,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
425,ebv-miR-BART10-3p,TFRC,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
426,ebv-miR-BART10-3p,TNFRSF10B,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
427,ebv-miR-BART10-3p,TOP2A,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
428,ebv-miR-BART10-3p,UBR5,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
429,ebv-miR-BART10-3p,VPS36,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
430,ebv-miR-BART10-3p,XIAP,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
431,ebv-miR-BART10-3p,ZNF180,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
432,ebv-miR-BART10-3p,ZNF217,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
433,ebv-miR-BART10-3p,ZNF770,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
434,ebv-miR-BART13-3p,ABI2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
435,ebv-miR-BART13-3p,ARFGEF2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
436,ebv-miR-BART13-3p,ATP13A3,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
437,ebv-miR-BART13-3p,C6orf120,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
438,ebv-miR-BART13-3p,C9orf72,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
439,ebv-miR-BART13-3p,CBL,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
440,ebv-miR-BART13-3p,CSNK1G1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
441,ebv-miR-BART13-3p,CTPS1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
442,ebv-miR-BART13-3p,EIF5,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
443,ebv-miR-BART13-3p,FAM174A,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
444,ebv-miR-BART13-3p,HK2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
445,ebv-miR-BART13-3p,INTS6,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
446,ebv-miR-BART13-3p,LAMP2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
447,ebv-miR-BART13-3p,LHFPL2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
448,ebv-miR-BART13-3p,MAP3K1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
449,ebv-miR-BART13-3p,MAST3,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
450,ebv-miR-BART13-3p,MCL1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
451,ebv-miR-BART13-3p,MED9,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
452,ebv-miR-BART13-3p,MKLN1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
453,ebv-miR-BART13-3p,NDUFB2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
454,ebv-miR-BART13-3p,NKIRAS2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
455,ebv-miR-BART13-3p,NUCKS1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
456,ebv-miR-BART13-3p,NUFIP2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
457,ebv-miR-BART13-3p,PNISR,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
458,ebv-miR-BART13-3p,PPM1A,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
459,ebv-miR-BART13-3p,SC5D,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
460,ebv-miR-BART13-3p,SCOC,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
461,ebv-miR-BART13-3p,SDE2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
462,ebv-miR-BART13-3p,SLC41A1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
463,ebv-miR-BART13-3p,SPDL1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
464,ebv-miR-BART13-3p,TBC1D2B,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
465,ebv-miR-BART13-3p,TET3,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
466,ebv-miR-BART13-3p,THUMPD1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
467,ebv-miR-BART13-3p,TIAL1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
468,ebv-miR-BART13-3p,TMEM60,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
469,ebv-miR-BART13-3p,TOPBP1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
470,ebv-miR-BART13-3p,USP31,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
471,ebv-miR-BART13-3p,ZFR,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
472,ebv-miR-BART15,BIRC6,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
473,ebv-miR-BART16,RAB13,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
474,ebv-miR-BART16,TOMM22,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
475,ebv-miR-BART3-3p,IPO7,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
476,ebv-miR-BART3-3p,RAB13,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
477,ebv-miR-BART4-5p,AAK1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
478,ebv-miR-BART4-5p,ADPGK,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
479,ebv-miR-BART4-5p,ARFGEF2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
480,ebv-miR-BART4-5p,BCL2L11,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
481,ebv-miR-BART4-5p,BRMS1L,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
482,ebv-miR-BART4-5p,CDV3,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
483,ebv-miR-BART4-5p,COMMD10,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
484,ebv-miR-BART4-5p,CPT2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
485,ebv-miR-BART4-5p,DHX40,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
486,ebv-miR-BART4-5p,E2F3,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
487,ebv-miR-BART4-5p,ERCC6,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
488,ebv-miR-BART4-5p,FNBP4,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
489,ebv-miR-BART4-5p,HBP1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
490,ebv-miR-BART4-5p,LTN1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
491,ebv-miR-BART4-5p,MIB1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
492,ebv-miR-BART4-5p,MSANTD4,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
493,ebv-miR-BART4-5p,PANK3,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
494,ebv-miR-BART4-5p,POU2AF1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
495,ebv-miR-BART4-5p,RCOR1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
496,ebv-miR-BART4-5p,SDE2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
497,ebv-miR-BART4-5p,SLC7A1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
498,ebv-miR-BART4-5p,SMC2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
499,ebv-miR-BART4-5p,SMNDC1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
500,ebv-miR-BART4-5p,SOX12,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
501,ebv-miR-BART4-5p,TUBGCP3,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
502,ebv-miR-BART4-5p,ZBED4,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
503,ebv-miR-BART6-5p,DICER1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
504,ebv-miR-BART7-3p,ABRACL,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
505,ebv-miR-BART7-3p,ADIPOR1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
506,ebv-miR-BART7-3p,ADSS,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
507,ebv-miR-BART7-3p,AFF4,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
508,ebv-miR-BART7-3p,ARHGAP11A,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
509,ebv-miR-BART7-3p,B4GALT1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
510,ebv-miR-BART7-3p,BAZ1B,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
511,ebv-miR-BART7-3p,CENPQ,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
512,ebv-miR-BART7-3p,CLCN3,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
513,ebv-miR-BART7-3p,CSDE1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
514,ebv-miR-BART7-3p,DCTN4,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
515,ebv-miR-BART7-3p,DHX33,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
516,ebv-miR-BART7-3p,DYRK2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
517,ebv-miR-BART7-3p,EIF4G2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
518,ebv-miR-BART7-3p,ELP4,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
519,ebv-miR-BART7-3p,GCLC,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
520,ebv-miR-BART7-3p,GCSAM,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
521,ebv-miR-BART7-3p,GNPTAB,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
522,ebv-miR-BART7-3p,HNRNPF,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
523,ebv-miR-BART7-3p,HNRNPR,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
524,ebv-miR-BART7-3p,ING3,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
525,ebv-miR-BART7-3p,KIAA0947,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
526,ebv-miR-BART7-3p,KIAA2026,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
527,ebv-miR-BART7-3p,KLHL36,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
528,ebv-miR-BART7-3p,LARP1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
529,ebv-miR-BART7-3p,MAP4K5,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
530,ebv-miR-BART7-3p,MED13,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
531,ebv-miR-BART7-3p,MIER3,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
532,ebv-miR-BART7-3p,MOB1B,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
533,ebv-miR-BART7-3p,MRPL22,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
534,ebv-miR-BART7-3p,MYPOP,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
535,ebv-miR-BART7-3p,NFKBIA,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
536,ebv-miR-BART7-3p,PAK2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
537,ebv-miR-BART7-3p,PATZ1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
538,ebv-miR-BART7-3p,PBXIP1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
539,ebv-miR-BART7-3p,PCMTD2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
540,ebv-miR-BART7-3p,PGK1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
541,ebv-miR-BART7-3p,PICALM,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
542,ebv-miR-BART7-3p,PNPO,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
543,ebv-miR-BART7-3p,POLD3,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
544,ebv-miR-BART7-3p,POLR2K,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
545,ebv-miR-BART7-3p,PPP2R5A,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
546,ebv-miR-BART7-3p,PRR3,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
547,ebv-miR-BART7-3p,RAB27A,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
548,ebv-miR-BART7-3p,RASGRP3,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
549,ebv-miR-BART7-3p,RCSD1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
550,ebv-miR-BART7-3p,RHOA,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
551,ebv-miR-BART7-3p,RPL5,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
552,ebv-miR-BART7-3p,SCFD1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
553,ebv-miR-BART7-3p,SEC23A,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
554,ebv-miR-BART7-3p,TACO1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
555,ebv-miR-BART7-3p,TFEC,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
556,ebv-miR-BART7-3p,TMEM19,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
557,ebv-miR-BART7-3p,TMF1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
558,ebv-miR-BART7-3p,TNFRSF1B,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
559,ebv-miR-BART7-3p,TNKS2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
560,ebv-miR-BART7-3p,TXNDC5,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
561,ebv-miR-BART7-3p,WDR4,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
562,ebv-miR-BART7-3p,YEATS4,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
563,ebv-miR-BART7-3p,YWHAG,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
564,ebv-miR-BART7-3p,ZCCHC7,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
565,ebv-miR-BART7-3p,ZMYND11,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
566,ebv-miR-BART7-3p,ZNF180,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
567,ebv-miR-BART7-3p,ZNF217,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
568,ebv-miR-BART7-3p,ZNF260,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
569,ebv-miR-BHRF1-1,EBNA1BP2,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
570,ebv-miR-BHRF1-2-3p,PDLIM7,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
571,gga-miR-26a-5p,NEK6,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
572,gga-miR-489-3p,SMAD3,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
573,has-miR-214-3p,KCNQ1OT1,Homo sapiens,RNAInter,miRNA-lncRNA
574,hcmv-miR-UL112-3p,MICA,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
575,hcmv-miR-UL112-3p,MICB,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
576,hcmv-miR-US25-2-3p,EIF4A1,Homo sapiens,miRTarBase_9.0,miRNA-mRNA
577,hsa-let-7-5p/98-5p,A1CF,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
578,hsa-let-7-5p/98-5p,AAK1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
579,hsa-let-7-5p/98-5p,AASS,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
580,hsa-let-7-5p/98-5p,ABCB9,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
581,hsa-let-7-5p/98-5p,ABCC10,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
582,hsa-let-7-5p/98-5p,ABCC5,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
583,hsa-let-7-5p/98-5p,ABHD17C,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
584,hsa-let-7-5p/98-5p,ABL2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
585,hsa-let-7-5p/98-5p,AC008443.1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
586,hsa-let-7-5p/98-5p,AC010441.1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
587,hsa-let-7-5p/98-5p,AC023632.1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
588,hsa-let-7-5p/98-5p,AC068987.1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
589,hsa-let-7-5p/98-5p,AC140061.12,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
590,hsa-let-7-5p/98-5p,ACAP3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
591,hsa-let-7-5p/98-5p,ACER2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
592,hsa-let-7-5p/98-5p,ACER3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
593,hsa-let-7-5p/98-5p,ACPP,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
594,hsa-let-7-5p/98-5p,ACSL6,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
595,hsa-let-7-5p/98-5p,ACVR1B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
596,hsa-let-7-5p/98-5p,ACVR1C,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
597,hsa-let-7-5p/98-5p,ACVR2A,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
598,hsa-let-7-5p/98-5p,ACVR2B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
599,hsa-let-7-5p/98-5p,ADAM15,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
600,hsa-let-7-5p/98-5p,ADAMTS1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
601,hsa-let-7-5p/98-5p,ADAMTS14,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
602,hsa-let-7-5p/98-5p,ADAMTS15,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
603,hsa-let-7-5p/98-5p,ADAMTS5,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
604,hsa-let-7-5p/98-5p,ADAMTS8,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
605,hsa-let-7-5p/98-5p,ADCY9,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
606,hsa-let-7-5p/98-5p,ADIPOR2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
607,hsa-let-7-5p/98-5p,ADRB1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
608,hsa-let-7-5p/98-5p,ADRB2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
609,hsa-let-7-5p/98-5p,ADRB3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
610,hsa-let-7-5p/98-5p,ADRBK2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
611,hsa-let-7-5p/98-5p,AEN,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
612,hsa-let-7-5p/98-5p,AFF2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
613,hsa-let-7-5p/98-5p,AGAP1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
614,hsa-let-7-5p/98-5p,AGO1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
615,hsa-let-7-5p/98-5p,AGO3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
616,hsa-let-7-5p/98-5p,AGO4,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
617,hsa-let-7-5p/98-5p,AGPAT6,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
618,hsa-let-7-5p/98-5p,AGPAT9,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
619,hsa-let-7-5p/98-5p,AHCTF1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
620,hsa-let-7-5p/98-5p,AIFM1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
621,hsa-let-7-5p/98-5p,AKAP5,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
622,hsa-let-7-5p/98-5p,AKAP6,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
623,hsa-let-7-5p/98-5p,AKT2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
624,hsa-let-7-5p/98-5p,ALDH6A1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
625,hsa-let-7-5p/98-5p,ALKBH1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
626,hsa-let-7-5p/98-5p,ALPK3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
627,hsa-let-7-5p/98-5p,AMER3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
628,hsa-let-7-5p/98-5p,AMMECR1L,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
629,hsa-let-7-5p/98-5p,AMOT,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
630,hsa-let-7-5p/98-5p,AMT,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
631,hsa-let-7-5p/98-5p,ANGPTL2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
632,hsa-let-7-5p/98-5p,ANKFY1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
633,hsa-let-7-5p/98-5p,ANKRD28,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
634,hsa-let-7-5p/98-5p,ANKRD33B,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
635,hsa-let-7-5p/98-5p,ANKRD46,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
636,hsa-let-7-5p/98-5p,ANKRD52,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
637,hsa-let-7-5p/98-5p,AP1S1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
638,hsa-let-7-5p/98-5p,APBA1,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
639,hsa-let-7-5p/98-5p,APBB3,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
640,hsa-let-7-5p/98-5p,APC2,Homo sapiens,TargetSCAN_8.0,miRNA-mRNA
